id,x,y,z
0,0.028461443,-0.1257693,-0.17825526
1,0.028250383,-0.106854826,-0.20506467
2,0.0018087509,-0.04808066,-0.250934
3,0.029972782,-0.09702431,-0.21891361
4,0.02650489,-0.11531052,-0.20193858
5,0.024674855,-0.12685996,-0.19480838
6,-0.05593535,-0.045670662,-0.20959894
7,-0.06432635,-0.06339717,-0.18365878
8,-0.07729924,-0.07478759,-0.19514935
9,-0.10570846,-0.043972865,-0.2841691
10,0.026762305,-0.11755333,-0.19397788
11,0.015017856,-0.031090511,-0.2646149
12,-0.034324553,-0.022439267,-0.30034262
13,0.034487158,-0.081837825,-0.2192393
14,-0.06453136,-0.07182176,-0.15228158
15,0.0043615373,-0.13390915,-0.20597303
16,0.0052216263,-0.031151623,-0.29022938
17,-0.03216952,-0.08634761,-0.12628414
18,-0.07414074,-0.06921952,-0.17136338
19,-0.04057069,-0.08452273,-0.12116644
20,0.013044938,-0.0637206,-0.2213601
21,0.038256906,-0.06544548,-0.2275489
22,0.010521806,-0.035406884,-0.26385033
23,-0.06175111,-0.07831999,-0.1487566
24,-0.08172397,-0.05753667,-0.16782828
25,-0.058928225,-0.07891138,-0.1426651
26,0.0354275,-0.074485034,-0.23420024
27,0.0507163,-0.046028443,-0.23531894
28,-0.14493133,-0.043513045,-0.2849214
29,-0.06510604,-0.11113211,-0.110261805
30,-0.09685057,-0.019435788,-0.3022234
31,0.055697575,-0.15088572,-0.1385611
32,0.011788376,-0.07140569,-0.21686497
33,-0.023046067,-0.09100924,-0.15295926
34,-0.11802826,-0.042653434,-0.29950297
35,0.05552202,-0.13585064,-0.10205303
36,0.05338396,-0.13278545,-0.104138196
37,-0.028648622,-0.08621884,-0.12798238
38,-0.049783677,-0.074241176,-0.1826563
39,-0.051542353,-0.069483265,-0.15351088
40,-0.083814204,-0.042060345,-0.1959754
41,0.03642712,-0.1302572,-0.13740009
42,-0.043526497,-0.044016402,-0.20617543
43,-0.08742963,-0.015331105,-0.30985427
44,0.065886445,-0.022707744,-0.25579885
45,0.068004504,-0.14864314,-0.11288038
46,0.017682996,-0.07202498,-0.22108305
47,-0.08319932,-0.027512541,-0.3111956
48,-0.036640223,-0.07786615,-0.1564108
49,-0.08291296,-0.013915581,-0.31866983
50,-0.04213885,-0.07461651,-0.16922675
51,-0.045362335,-0.08888513,-0.12094304
52,-0.052303135,-0.07992449,-0.13561954
53,0.040021986,-0.1309305,-0.0938959
54,0.08675658,-0.14597447,-0.12108447
55,0.06037673,-0.119205445,-0.18899877
56,-0.19707948,0.04201398,-0.84168553
57,-0.20948213,0.07349918,-0.8478367
58,0.0800625,-0.02318377,-0.25116247
59,0.033144776,-0.14068621,-0.10112322
60,0.020256523,-0.14543623,-0.14879313
61,0.098795034,0.010781651,-0.24938717
62,0.06437039,-0.036983393,-0.23331076
63,-0.001032944,-0.029022027,-0.27945685
64,-0.14012183,0.05162426,-0.7759541
65,-0.06773276,-0.0027337726,-0.33161905
66,0.09226277,-0.0041176956,-0.26115718
67,0.043523323,-0.11706374,-0.1977418
68,-0.012332916,-0.018050026,-0.30554447
69,0.12153511,-0.11087726,-0.16938673
70,0.11755946,-0.11804633,-0.17179576
71,0.11473962,-0.114987314,-0.17902097
72,0.11053781,-0.10823576,-0.17944366
73,0.085062094,-0.10702193,-0.18483981
74,0.11149737,-0.08938565,-0.18351462
75,0.108765,0.009261729,-0.24594513
76,0.10597732,-0.118759006,-0.17415187
77,0.0902219,0.009415971,-0.25953898
78,0.030948656,-0.14133531,-0.13929208
79,0.0068029338,-0.024512112,-0.30300194
80,0.10830658,-0.14092825,-0.11787295
81,0.106066875,-0.12957975,-0.17368342
82,0.08468762,-0.12751688,-0.17912063
83,0.032108605,-0.13296038,-0.18719359
84,-0.00032927893,-0.0076032,-0.3346048
85,0.10834768,-0.09008294,-0.18938956
86,0.05182714,-0.035270803,-0.2392111
87,0.14188147,-0.10549249,-0.1614332
88,0.13677742,-0.12423037,-0.15841295
89,0.13414629,-0.12877944,-0.15666737
90,0.12987164,-0.13864392,-0.16054407
91,0.13294373,-0.120254576,-0.1546682
92,0.12941322,-0.13510722,-0.15079619
93,0.12527825,-0.13946667,-0.1544269
94,0.12531309,-0.11025868,-0.17517827
95,0.123725235,-0.13636151,-0.15468942
96,0.104955345,-0.113452524,-0.17911725
97,0.10332956,-0.116460636,-0.17014343
98,0.10015092,-0.13875088,-0.16412011
99,0.13282461,-0.11892847,-0.16298218
100,0.114192545,-0.11925926,-0.17113158
101,0.13870469,-0.114579074,-0.16152513
102,0.1269853,-0.14044903,-0.10076043
103,0.13495049,-0.12184115,-0.15977432
104,0.12663288,-0.13019283,-0.1638199
105,0.1329556,0.0086486135,-0.23537776
106,0.06852913,-0.013780169,-0.25119293
107,0.064781055,-0.029862734,-0.23780389
108,0.03143439,-0.09597528,-0.21164732
109,0.100707576,-0.141112,-0.08763019
110,0.12710533,-0.089632936,-0.18578449
111,0.08018277,-0.032652773,-0.23866576
