id,x,y,z,r,g,b
0,-0.07431898,-0.050179403,-0.375533,0.5647059,0.3137255,0.68235296
1,-0.06635616,-0.058540102,-0.34509823,0.5647059,0.3137255,0.68235296
2,-0.078001514,-0.07842167,-0.35177702,0.007843138,0.49803922,0.50980395
3,-0.096126266,-0.039238345,-0.38668737,0.5647059,0.3137255,0.68235296
4,-0.06086993,-0.069327444,-0.3869466,0.09411765,0.48235294,0.5254902
5,-0.14721937,-0.041475277,-0.40950736,0.5647059,0.3137255,0.68235296
6,-0.17351599,-0.05026157,-0.384484,0.5647059,0.3137255,0.68235296
7,-0.022679286,-0.044368397,-0.3125819,0.5647059,0.3137255,0.68235296
8,-0.09194132,-0.056356724,-0.41864344,0.5647059,0.3137255,0.68235296
9,-0.057654064,-0.0689408,-0.35831353,0.5647059,0.3137255,0.68235296
10,-0.0720524,-0.05659164,-0.41650304,0.5647059,0.3137255,0.68235296
11,-0.030484075,-0.09209138,-0.34414724,0.5647059,0.3137255,0.68235296
12,-0.07723856,0.012673729,-0.45980808,0.101960786,0.4862745,0.5294118
13,-0.18235312,-0.06552707,-0.39621437,0.5647059,0.3137255,0.68235296
14,-0.077378236,-0.04054215,-0.36922213,0.59607846,0.32156864,0.6745098
15,-0.09205235,-0.019466678,-0.31458965,0.7764706,0.5254902,0.49019608
16,-0.17196321,0.018674957,-0.32008442,0.4745098,0.30980393,0.6745098
17,-0.17221484,-0.045274075,-0.41580117,0.09019608,0.4745098,0.5294118
18,-0.16789919,-0.0497622,-0.40580782,0.5647059,0.3137255,0.68235296
19,-0.09995828,0.015416526,-0.34584874,0.5647059,0.3137255,0.68235296
20,-0.10119887,0.00922756,-0.3369717,0.34509805,0.5882353,0.4862745
21,-0.03864408,-0.06406696,-0.3867892,0.5647059,0.3137255,0.68235296
22,-0.16993345,-0.054999273,-0.392887,0.5647059,0.3137255,0.68235296
23,-0.10247757,-0.010322184,-0.32568285,0.6745098,0.3137255,0.6784314
24,0.2461199,-0.045330595,0.022578241,0.5254902,0.40784314,0.6
25,-0.06571178,-0.050793555,-0.3609729,0.49803922,0.30980393,0.6745098
26,0.28402507,-0.084879905,0.014803828,0.37254903,0.37254903,0.6392157
27,0.29833627,-0.04690936,0.052712206,0.105882354,0.54509807,0.4862745
28,0.20419465,-0.046934497,-0.3330452,0.21960784,0.49803922,0.5294118
29,0.35346332,-0.017098391,-0.20443095,0.27450982,0.4117647,0.6
30,0.15621425,-0.0570642,-0.29589787,0.34117648,0.43529412,0.5803922
31,0.27438557,-0.061894577,0.03269333,0.52156866,0.4117647,0.6117647
32,0.31755012,-0.03866337,-0.1457548,0.19607843,0.4627451,0.54901963
33,0.30369043,-0.03360242,-0.21532907,0.3529412,0.41960785,0.5882353
34,0.25302002,-0.043689173,-0.41925037,0.43137255,0.5058824,0.49803922
35,0.24997894,-0.045537334,-0.26985633,0.50980395,0.3882353,0.6392157
36,-0.1545579,-0.055437278,-0.37870678,0.59607846,0.32156864,0.6745098
37,-0.16649507,-0.067435,-0.3976757,0.5647059,0.3137255,0.68235296
38,-0.06796651,-0.04812574,-0.3843208,0.59607846,0.32156864,0.6745098
39,0.13380031,-0.051269006,-0.27988997,0.65882355,0.38431373,0.61960787
40,0.24824138,-0.05783772,0.014932216,0.56078434,0.39607844,0.60784316
41,0.13186957,-0.05767579,-0.3601139,0.46666667,0.40392157,0.6039216
42,0.30517277,0.0051561524,-0.26383892,0.07450981,0.49803922,0.5058824
43,0.33760542,-0.00010138006,-0.21546109,0.039215688,0.49019608,0.5176471
44,0.23645674,-0.0514193,-0.43003854,0.46666667,0.40392157,0.6039216
