id,type,orientation,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,length,width
0,anchorPlane,VerticalPlaneAnchor,4.4324,0.3275,-4.2946,3.0899,0.0277,-0.6809,0.7319,0.2359,1.0074
1,anchorPlane,VerticalPlaneAnchor,4.8228,-0.8363,-5.9102,3.1184,0.0118,-0.7006,0.7134,0.2723,0.4500
2,anchorPlane,HorizontalPlaneAnchor,5.5023,-1.1353,-2.8441,0.5499,0.0002,1.0000,0.0000,0.5798,0.4390
3,anchorPlane,HorizontalPlaneAnchor,5.0866,0.2323,-4.4964,0.0583,-0.0014,1.0001,-0.0003,0.2657,0.7294
4,anchorPlane,HorizontalPlaneAnchor,4.8396,0.9231,-3.0598,0.7200,-0.0001,-1.0000,-0.0000,0.6254,0.2473
5,anchorPlane,VerticalPlaneAnchor,3.7241,1.1242,-4.1653,1.8353,0.8470,0.3563,-0.3945,0.2043,1.0431
6,anchorPlane,HorizontalPlaneAnchor,4.4278,0.4957,-4.2003,0.0743,-0.0004,1.0001,-0.0005,1.0591,1.0523
7,anchorPlane,HorizontalPlaneAnchor,0.1586,-0.3299,-0.0784,0.0900,0.0084,1.0000,0.0051,0.3488,0.6123
8,anchorPlane,HorizontalPlaneAnchor,4.4370,0.0472,-4.6830,0.0846,-0.0008,1.0000,-0.0006,0.2802,1.0385
9,anchorPlane,HorizontalPlaneAnchor,4.8157,-0.9670,-6.0550,0.0566,-0.0014,1.0000,-0.0004,0.4093,1.0325
10,anchorPlane,VerticalPlaneAnchor,3.5451,0.9272,-3.5777,1.7955,0.8476,0.3635,-0.3865,0.1987,0.9500
11,anchorPlane,VerticalPlaneAnchor,3.3896,1.3150,-4.1558,1.8114,0.8487,0.3590,-0.3884,0.2041,0.9841
12,anchorPlane,VerticalPlaneAnchor,4.9299,-0.4630,-5.3424,3.0580,0.0447,-0.6827,0.7293,0.2025,0.5009
13,anchorPlane,HorizontalPlaneAnchor,0.5843,-1.0777,-0.1144,0.2141,0.0005,1.0000,0.0003,2.6768,4.6907
14,anchorPlane,VerticalPlaneAnchor,4.3490,0.7040,-2.8707,2.1253,0.4850,0.6595,-0.5743,0.2318,0.5000
15,anchorPlane,HorizontalPlaneAnchor,3.2856,1.2280,-3.8463,0.6991,0.0000,-1.0000,0.0000,1.1161,0.2758
16,anchorPlane,HorizontalPlaneAnchor,2.9071,1.6158,-4.2520,0.7715,0.0000,-1.0000,0.0000,1.1635,1.4793
17,anchorPlane,VerticalPlaneAnchor,2.9650,1.5190,-4.0292,1.8261,0.8466,0.3587,-0.3931,0.1972,1.0485
18,anchorPlane,HorizontalPlaneAnchor,3.1058,1.4244,-4.0160,0.7013,0.0000,-1.0000,0.0000,1.1253,0.2644
19,anchorPlane,VerticalPlaneAnchor,4.5345,-0.6692,-5.5682,3.0778,0.0332,-0.6927,0.7205,0.2153,0.8597
20,anchorPlane,VerticalPlaneAnchor,4.9811,-0.2588,-5.1028,3.0742,0.0360,-0.6826,0.7299,0.2125,0.9892
21,anchorPlane,HorizontalPlaneAnchor,4.7268,-0.3417,-5.2970,0.0986,-0.0007,1.0000,-0.0004,0.4418,1.0425
22,anchorPlane,HorizontalPlaneAnchor,6.1036,-1.1013,-3.1379,0.3054,0.0003,-1.0000,-0.0002,1.4156,0.9816
23,anchorPlane,VerticalPlaneAnchor,5.2871,0.4810,-3.9923,2.0012,0.5889,-0.5953,0.5466,0.3765,0.8318
24,anchorPlane,HorizontalPlaneAnchor,4.7517,-0.7658,-5.8707,0.0920,-0.0008,1.0000,-0.0003,0.4216,1.0397
25,anchorPlane,HorizontalPlaneAnchor,4.6783,0.6311,-3.3444,0.1180,-0.0000,1.0000,-0.0000,1.5682,0.8299
26,anchorPlane,HorizontalPlaneAnchor,5.6129,-1.0879,-5.8898,0.2859,0.0003,-1.0000,-0.0002,1.9225,0.9087
27,anchorPlane,HorizontalPlaneAnchor,4.6348,-1.1078,-6.9661,0.4656,-0.0003,1.0000,-0.0001,0.5860,0.4391
28,anchorPlane,HorizontalPlaneAnchor,4.7147,-0.5539,-5.5942,0.0235,-0.0034,1.0005,-0.0009,0.5578,1.0311
29,anchorPlane,VerticalPlaneAnchor,4.4513,-0.0484,-4.7989,3.0822,0.0301,-0.7011,0.7125,0.1956,1.0007
30,anchorPlane,HorizontalPlaneAnchor,4.5348,-0.1466,-4.9586,0.0846,-0.0008,1.0000,-0.0006,0.2683,1.0125
31,anchorPlane,HorizontalPlaneAnchor,3.6335,1.0257,-3.9240,0.7152,0.0000,-1.0000,0.0000,1.1025,0.2698
32,anchorPlane,VerticalPlaneAnchor,4.9724,0.1335,-4.5786,3.1025,0.0216,-0.6696,0.7424,0.1993,0.9748
33,anchorPlane,VerticalPlaneAnchor,3.5570,-0.6877,-1.9602,1.7318,0.8901,-0.3148,0.3295,0.5720,0.4638
34,anchorPlane,HorizontalPlaneAnchor,4.2183,0.8346,-2.9095,0.7152,-0.0000,-1.0000,-0.0000,1.1046,1.3524
