id,x,y,z
0,0.11428901,-0.14820582,0.2111313
1,0.117661916,-0.14733566,0.21172202
2,0.12649629,-0.14372414,0.21565889
3,0.13618693,-0.13872446,0.22054432
4,0.14538006,-0.13753986,0.22347745
5,0.15195099,-0.1379281,0.22505951
6,0.15522921,-0.13860077,0.22517826
7,0.15836708,-0.13954882,0.22493038
8,0.16662405,-0.1430312,0.2226522
9,0.1711602,-0.14546776,0.22090295
10,0.17659429,-0.14813468,0.21823572
11,0.18207163,-0.14936158,0.21448436
12,0.18443039,-0.14731562,0.20477557
13,0.1857897,-0.14653204,0.2037818
14,0.19002399,-0.14738348,0.19486871
15,0.1979352,-0.14752471,0.18444984
16,0.20857455,-0.14704072,0.17101084
17,0.21645465,-0.14614028,0.16160698
18,0.22494435,-0.14590192,0.15275943
19,0.22983423,-0.14595935,0.14747311
20,0.23509264,-0.14602391,0.14203739
21,0.24622364,-0.14534225,0.13122258
22,0.25049192,-0.14393294,0.12753145
23,0.2555723,-0.14233427,0.12254285
24,0.26448277,-0.13748841,0.11280027
25,0.268627,-0.13435993,0.10799145
26,0.27278528,-0.13082668,0.103416264
27,0.27643463,-0.1285515,0.10058236
28,0.28039193,-0.12424612,0.09703042
29,0.28394797,-0.11943817,0.094120175
30,0.2871152,-0.11422765,0.091775775
31,0.29286885,-0.10352165,0.08817678
32,0.2965682,-0.09920563,0.08507077
33,0.2996502,-0.094505526,0.083193526
34,0.30610502,-0.08557127,0.079358205
35,0.30938587,-0.08106956,0.07771236
36,0.3162001,-0.07176178,0.07525918
37,0.32045177,-0.069444045,0.0726857
38,0.32778248,-0.060667604,0.070329115
39,0.33449656,-0.052139748,0.067502044
40,0.33723387,-0.049211334,0.06590854
41,0.34020743,-0.04456465,0.06464145
42,0.34572563,-0.03432134,0.06317057
43,0.35025933,-0.024040772,0.06189037
44,0.3552939,-0.0137782,0.057808522
45,0.35980073,-0.0015772856,0.05508738
46,0.36122683,0.00044971975,0.0539927
47,0.3632159,0.0070762285,0.053320814
48,0.36540976,0.011698211,0.051967937
49,0.36681563,0.01626061,0.05043196
50,0.36798686,0.02801765,0.04572591
51,0.3674697,0.036073264,0.046318986
52,0.36693573,0.046334002,0.046824284
53,0.37563127,0.054431733,0.046500996
54,0.38094038,0.05857915,0.04672826
55,0.38511714,0.05934447,0.046675038
56,0.38433084,0.0651176,0.046070214
57,0.3862146,0.06523089,0.045584086
58,0.38825494,0.06526924,0.044971347
59,0.39570937,0.06515938,0.04251586
60,0.40796483,0.06795126,0.03514338
61,0.41140512,0.067453526,0.03348855
62,0.4334669,0.059502717,0.008268923
63,0.4372295,0.058745254,0.006185785
64,0.44117168,0.057909895,0.0040271883
65,0.4453097,0.056988034,0.0017532632
66,0.4496782,0.05592924,-0.0006959718
67,0.45427233,0.054722328,-0.0034080981
68,0.45882028,0.05707487,-0.0061720847
69,0.4692539,0.054991085,-0.012787096
70,0.47484493,0.054241363,-0.01620781
71,0.4807499,0.053687666,-0.019683436
72,0.4870019,0.053298417,-0.023231966
73,0.49991924,0.047801685,-0.059123952
74,0.50661147,0.047469117,-0.063467026
75,0.5136701,0.047028817,-0.06804881
76,0.5211125,0.046430063,-0.072855204
77,0.528893,0.045722883,-0.07786276
78,0.5369092,0.0449824,-0.08304416
79,0.5412641,0.046302523,-0.086210474
80,0.5495222,0.045646723,-0.09168042
81,0.55789953,0.04511858,-0.09726766
82,0.5664047,0.044749033,-0.10289042
83,0.575044,0.04450571,-0.10849338
84,0.5929711,0.043994077,-0.11971064
85,0.6022203,0.04074749,-0.124911115
86,0.61183155,0.040191185,-0.1309533
87,0.62161094,0.039674398,-0.13725173
88,0.6313883,0.039410647,-0.14366284
89,0.64093244,0.039684292,-0.15005969
90,0.65325385,0.046615,-0.16066398
91,0.6611565,0.048645403,-0.16708235
