id,x,y,z,r,g,b
0,-0.016316097,-0.33476576,-0.055768896,0.5568628,0.44705883,0.54509807
1,-0.024313916,-0.3327499,-0.05004922,0.5568628,0.44705883,0.54509807
2,-0.043122336,-0.33047903,-0.056277666,0.5411765,0.4509804,0.54509807
3,-0.037019376,-0.33660272,-0.05957366,0.5411765,0.4509804,0.54509807
4,-0.014175407,-0.33063152,-0.047501672,0.5568628,0.44705883,0.54509807
5,-0.016845364,-0.33699977,-0.039433498,0.5568628,0.44705883,0.54509807
6,0.028593387,-0.3342652,-0.05424192,0.5568628,0.44705883,0.54509807
7,-0.009657576,-0.33752844,-0.06216042,0.5568628,0.44705883,0.54509807
8,-0.011753988,-0.33342102,-0.05666131,0.5568628,0.44705883,0.54509807
9,-0.026121762,-0.33471918,-0.08901563,0.5411765,0.4509804,0.54509807
10,-0.017827705,-0.33499634,-0.06864518,0.5411765,0.4509804,0.54509807
11,0.009883173,-0.3321946,-0.058038983,0.5568628,0.44705883,0.54509807
12,-0.00806985,-0.3315364,-0.06345186,0.5568628,0.44705883,0.54509807
13,0.12100767,-0.32778093,-0.14973779,0.5411765,0.4509804,0.54509807
14,0.028183818,-0.34034008,-0.05351999,0.5254902,0.4509804,0.5411765
15,-0.029790953,-0.33407128,-0.076203,0.5411765,0.4509804,0.54509807
16,0.008612302,-0.33275932,-0.052606095,0.5411765,0.4509804,0.54509807
17,0.039117772,-0.33349472,-0.03910887,0.5568628,0.45490196,0.5411765
18,-0.022965554,-0.33415744,-0.067883,0.5568628,0.44705883,0.54509807
19,0.0060679265,-0.34059295,-0.08129676,0.5254902,0.4509804,0.5411765
20,0.018679434,-0.31942108,-0.16593091,0.5568628,0.44705883,0.54509807
21,-0.0070991525,-0.334842,-0.10284491,0.5411765,0.4509804,0.54509807
22,0.035135135,-0.33148304,-0.044091333,0.5411765,0.4509804,0.54509807
23,-0.037936624,-0.33471632,-0.06851719,0.5411765,0.4509804,0.54509807
24,0.013252692,-0.33144405,-0.053738263,0.5568628,0.44705883,0.54509807
25,0.017146267,-0.33334926,-0.05126894,0.5568628,0.44705883,0.54509807
26,0.0097155245,-0.33157784,-0.0748488,0.5411765,0.4509804,0.54509807
27,0.030801494,-0.3245465,-0.17127769,0.5411765,0.4509804,0.54509807
28,-0.030284148,-0.3385858,-0.06678733,0.5411765,0.4509804,0.54509807
29,0.070944995,-0.33176616,-0.032659948,0.5254902,0.4509804,0.5411765
30,0.06439143,-0.3315997,-0.04100666,0.5568628,0.44705883,0.54509807
31,0.057214297,-0.33379337,-0.03360637,0.5568628,0.45490196,0.5411765
32,0.052833825,-0.32856756,-0.035988227,0.5568628,0.45490196,0.5411765
33,0.047259245,-0.3355488,-0.049482916,0.5411765,0.4509804,0.54509807
34,0.06039195,-0.3312079,-0.015757233,0.5568628,0.45490196,0.5411765
35,0.077339865,-0.32932994,-0.015560731,0.5568628,0.44705883,0.54509807
36,0.08754285,-0.3317952,-0.05357607,0.5411765,0.4509804,0.54509807
37,0.08021821,-0.3348893,-0.05806901,0.5411765,0.4509804,0.54509807
38,0.07379609,-0.33145043,-0.02434177,0.5568628,0.44705883,0.54509807
39,-0.014533865,-0.33808592,-0.12689015,0.5411765,0.4509804,0.54509807
40,0.12755586,-0.33754593,-0.100085616,0.5411765,0.4509804,0.54509807
41,-0.068428405,-0.35056552,0.062934205,0.5411765,0.4509804,0.54509807
42,0.14371291,-0.3360022,-0.08129799,0.5568628,0.44705883,0.54509807
43,0.12273637,-0.33565745,-0.063606456,0.5411765,0.4509804,0.54509807
44,0.10556669,-0.33897373,-0.0353226,0.5411765,0.4509804,0.54509807
45,0.084208995,-0.33537057,-0.012347363,0.5254902,0.4509804,0.5411765
46,0.14130636,-0.3291022,-0.053986993,0.5411765,0.4509804,0.54509807
47,0.08545565,-0.32515645,-0.003439201,0.5411765,0.4509804,0.54509807
48,0.06624093,-0.33507738,-0.010868277,0.5568628,0.44705883,0.54509807
49,0.067935064,-0.3321452,-0.0373302,0.5568628,0.45490196,0.5411765
50,0.06430584,-0.33062693,-0.056320038,0.5411765,0.4509804,0.54509807
51,0.10146317,-0.31669375,-0.13614814,0.5568628,0.44705883,0.54509807
52,0.06597167,-0.33236668,-0.07707547,0.5411765,0.4509804,0.54509807
53,0.06429461,-0.33742443,-0.08757444,0.5411765,0.4509804,0.54509807
54,0.02129051,-0.3409604,-0.115624815,0.5411765,0.4509804,0.54509807
55,-0.008063086,-0.33305064,-0.08179939,0.5568628,0.44705883,0.54509807
56,-0.013489411,-0.33952087,-0.11735284,0.5411765,0.4509804,0.54509807
57,-0.0035178568,-0.33284825,-0.19819507,0.5411765,0.4509804,0.54509807
58,-0.07368885,-0.34120125,0.049599316,0.5411765,0.4509804,0.54509807
59,0.16228954,-0.33411375,-0.08500859,0.5568628,0.45490196,0.5411765
60,0.14500363,-0.3323651,-0.07719241,0.5411765,0.4509804,0.54509807
61,0.14400598,-0.3343209,-0.090856165,0.5568628,0.44705883,0.54509807
62,0.14930978,-0.35356423,-0.098981425,0.5411765,0.4509804,0.54509807
63,0.10136891,-0.32691276,-0.05603083,0.5411765,0.4509804,0.54509807
64,0.071752235,-0.33269408,-0.048341174,0.5411765,0.4509804,0.54509807
65,0.06589783,-0.32850167,-0.05013999,0.5411765,0.4509804,0.54509807
66,0.042641424,-0.33238685,-0.0673676,0.5568628,0.44705883,0.54509807
67,-0.013595543,-0.33426154,-0.0484255,0.5568628,0.44705883,0.54509807
68,-0.011778378,-0.33778074,-0.08918461,0.5411765,0.4509804,0.54509807
69,0.15649581,-0.34013692,-0.0786915,0.5411765,0.4509804,0.54509807
70,0.11167565,-0.333171,-0.01695174,0.5568628,0.45490196,0.5411765
71,0.08218244,-0.3396304,-0.057754207,0.5411765,0.4509804,0.54509807
72,0.013172116,-0.33057213,-0.06994842,0.5411765,0.4509804,0.54509807
73,-0.036193162,-0.33976072,-0.058791634,0.5411765,0.4509804,0.54509807
74,0.10335381,-0.3313159,-0.024448346,0.5568628,0.45490196,0.5411765
75,0.14426433,-0.33558968,-0.050393213,0.5568628,0.44705883,0.54509807
76,0.14047457,-0.31680527,-0.12464617,0.5568628,0.44705883,0.54509807
77,0.014767446,-0.33741167,-0.0730194,0.5568628,0.44705883,0.54509807
78,-0.051816493,-0.3434854,0.05899286,0.5568628,0.44705883,0.54509807
79,0.014347097,-0.29309046,-0.17799304,0.5568628,0.44705883,0.54509807
80,-0.02660758,-0.33357286,-0.072844714,0.5568628,0.44705883,0.54509807
81,0.13410231,-0.33282626,-0.023855094,0.5568628,0.44705883,0.54509807
82,0.14169866,-0.3325852,-0.06560208,0.5568628,0.44705883,0.54509807
83,0.06834871,-0.33360773,-0.02227338,0.5568628,0.44705883,0.54509807
84,0.06627965,-0.31290716,-0.15760101,0.5568628,0.44705883,0.54509807
85,0.06228944,-0.30170733,-0.1696171,0.5568628,0.44705883,0.54509807
86,0.15395032,-0.33412933,-0.031196337,0.57254905,0.4509804,0.5411765
87,0.12366511,-0.33082172,-0.013597608,0.5568628,0.44705883,0.54509807
88,0.123809114,-0.3329919,-0.057656925,0.5568628,0.44705883,0.54509807
89,0.08879619,-0.33085126,-0.01197587,0.5568628,0.45490196,0.5411765
90,-0.06050805,-0.345778,0.05991821,0.5568628,0.44705883,0.54509807
91,0.1269699,-0.3300526,-0.0024008676,0.57254905,0.4509804,0.5411765
92,0.11861117,-0.3314723,0.005998928,0.5254902,0.4509804,0.5411765
93,0.04927118,-0.29749456,-0.1573295,0.5254902,0.4509804,0.5411765
94,0.05855306,-0.3013192,-0.17936714,0.5254902,0.4509804,0.5411765
95,0.05029768,-0.29893988,-0.17768277,0.5254902,0.4509804,0.5411765
96,0.1903146,-0.33374813,-0.07530366,0.5254902,0.4509804,0.5411765
97,0.14800872,-0.33089304,-0.055776823,0.5254902,0.4509804,0.5411765
98,0.17540959,-0.3289811,-0.03662529,0.5568628,0.45490196,0.5411765
99,0.19685857,-0.33606356,-0.071780294,0.5568628,0.45490196,0.5411765
100,-0.021804739,-0.3255232,0.0838002,0.5254902,0.4509804,0.5411765
101,0.08186062,-0.2978091,-0.15173994,0.5254902,0.4509804,0.5411765
102,0.17214926,-0.3414546,-0.013383746,0.5254902,0.4509804,0.5411765
103,0.1170522,-0.33151832,-0.0052782185,0.5254902,0.4509804,0.5411765
104,0.238385,-0.32036322,-0.10989997,0.5568628,0.45490196,0.5411765
105,0.13791339,-0.33195996,0.009888574,0.57254905,0.4509804,0.5411765
106,0.20957457,-0.32309884,-0.095082894,0.57254905,0.4509804,0.5411765
107,0.18736139,-0.34119314,-0.07473993,0.5568628,0.45490196,0.5411765
108,0.18406907,-0.33153042,-0.088370144,0.5568628,0.45490196,0.5411765
109,0.10254441,-0.3071156,-0.14502506,0.5254902,0.4509804,0.5411765
110,0.075930566,-0.3321761,-0.10909152,0.5568628,0.45490196,0.5411765
111,0.17795531,-0.33413208,-0.015640814,0.5568628,0.45490196,0.5411765
112,0.18495074,-0.33472648,-0.035192437,0.5568628,0.45490196,0.5411765
113,0.16926913,-0.33356526,-0.06657401,0.6,0.44705883,0.54509807
114,0.15262403,-0.32981068,0.007163901,0.6,0.44705883,0.54509807
115,0.253297,-0.33399376,-0.05321416,0.6,0.44705883,0.54509807
116,0.04837559,-0.34309012,0.09971732,0.57254905,0.4509804,0.5411765
117,0.21082228,-0.33230433,-0.0015583839,0.654902,0.4509804,0.54509807
118,0.0733367,-0.3425538,0.12711596,0.6,0.44705883,0.54509807
119,0.056831248,-0.34235248,0.1102342,0.57254905,0.4509804,0.5411765
120,0.06359652,-0.34520847,0.09886128,0.57254905,0.4509804,0.5411765
121,0.07637066,-0.34323427,0.11984663,0.6,0.44705883,0.54509807
122,0.12966064,-0.33311006,0.12250784,0.7372549,0.47058824,0.53333336
